group,threshold,paco2_bin,count,weight,tn_q025,tn_q50,tn_q975,fp_q025,fp_q50,fp_q975,fn_q025,fn_q50,fn_q975,tp_q025,tp_q50,tp_q975
ed_inp,45.0,59.0,711,0.00589855481259022,0.0,0.0,0.0,0.0,0.0,0.0,3.767303136115174e-12,2.881940490306878e-06,0.001409496319813105,0.9985905036801869,0.9999971180595097,0.9999999999962327
ed_inp,45.0,60.0,645,0.005351009640113491,0.0,0.0,0.0,0.0,0.0,0.0,9.513501098012967e-14,4.727228522516391e-07,0.0005627554678915205,0.9994372445321085,0.9999995272771478,0.9999999999999049
ed_inp,45.0,61.0,516,0.004280807712090793,0.0,0.0,0.0,0.0,0.0,0.0,1.8818280267396407e-15,6.589287904201768e-08,0.0002052465606008883,0.9997947534393992,0.999999934107121,0.9999999999999981
ed_inp,45.0,62.0,553,0.004587764854236838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.608638191187623e-09,6.965003996025053e-05,0.9999303499600397,0.9999999913913618,1.0
ed_inp,45.0,63.0,467,0.003874296902221706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.853839966211808e-10,2.1949964271941716e-05,0.999978050035728,0.999999999014616,1.0
ed_inp,45.0,64.0,423,0.00350926678723722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.551426316534162e-11,6.4116449963097505e-06,0.9999935883550037,0.9999999999044857,1.0
ed_inp,45.0,65.0,343,0.0028455756690836083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.59081686396712e-12,1.7530106754176654e-06,0.9999982469893246,0.9999999999924092,1.0
ed_inp,45.0,66.0,377,0.003127644394298893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.441203043687892e-13,4.442443699792517e-07,0.99999955575563,0.9999999999994559,1.0
ed_inp,45.0,67.0,296,0.0024556571371683617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.47499806707674e-14,1.0443561779815979e-07,0.9999998955643822,0.9999999999999653,1.0
ed_inp,45.0,68.0,329,0.0027294297234067267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.942890293094024e-15,2.2830095047776652e-08,0.999999977169905,0.999999999999998,1.0
ed_inp,45.0,69.0,268,0.002223365245814598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,4.634302364081571e-09,0.9999999953656976,0.9999999999999999,1.0
ed_inp,45.0,70.0,279,0.0023146227745607195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.733845147101942e-10,0.9999999991266155,1.0,1.0
ed_inp,45.0,71.0,228,0.0018915196867377922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5279414677937766e-10,0.9999999998472059,1.0,1.0
ed_inp,45.0,72.0,237,0.0019661849375300737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4810295484733922e-11,0.9999999999751897,1.0,1.0
ed_inp,45.0,73.0,189,0.0015679702666379068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.738792608842783e-12,0.9999999999962612,1.0,1.0
ed_inp,45.0,74.0,174,0.0014435281819841046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.582007078785955e-13,0.9999999999994418,1.0,1.0
ed_inp,45.0,75.0,161,0.0013356783752841428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.970846205296292e-14,0.9999999999999203,1.0,1.0
ed_inp,45.0,76.0,142,0.0011780517347226602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0669243266647744e-14,0.9999999999999893,1.0,1.0
