group,bin_center,count,weight,density,true_threshold,borderline_lower,borderline_upper
ed_inp,130.0,9,7.466525079228127e-05,7.466525079228127e-05,45.0,40.0,50.0
ed_inp,131.0,6,4.977683386152085e-05,4.977683386152085e-05,45.0,40.0,50.0
ed_inp,132.0,5,4.148069488460071e-05,4.148069488460071e-05,45.0,40.0,50.0
ed_inp,133.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,135.0,3,2.4888416930760424e-05,2.4888416930760424e-05,45.0,40.0,50.0
ed_inp,136.0,4,3.3184555907680565e-05,3.3184555907680565e-05,45.0,40.0,50.0
ed_inp,138.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,139.0,3,2.4888416930760424e-05,2.4888416930760424e-05,45.0,40.0,50.0
ed_inp,140.0,5,4.148069488460071e-05,4.148069488460071e-05,45.0,40.0,50.0
ed_inp,142.0,3,2.4888416930760424e-05,2.4888416930760424e-05,45.0,40.0,50.0
ed_inp,143.0,3,2.4888416930760424e-05,2.4888416930760424e-05,45.0,40.0,50.0
ed_inp,144.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,145.0,1,8.296138976920141e-06,8.296138976920141e-06,45.0,40.0,50.0
ed_inp,146.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,147.0,6,4.977683386152085e-05,4.977683386152085e-05,45.0,40.0,50.0
ed_inp,148.0,4,3.3184555907680565e-05,3.3184555907680565e-05,45.0,40.0,50.0
ed_inp,150.0,3,2.4888416930760424e-05,2.4888416930760424e-05,45.0,40.0,50.0
ed_inp,152.0,6,4.977683386152085e-05,4.977683386152085e-05,45.0,40.0,50.0
ed_inp,153.0,6,4.977683386152085e-05,4.977683386152085e-05,45.0,40.0,50.0
ed_inp,154.0,4,3.3184555907680565e-05,3.3184555907680565e-05,45.0,40.0,50.0
ed_inp,155.0,4,3.3184555907680565e-05,3.3184555907680565e-05,45.0,40.0,50.0
ed_inp,156.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,157.0,3,2.4888416930760424e-05,2.4888416930760424e-05,45.0,40.0,50.0
ed_inp,158.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,159.0,6,4.977683386152085e-05,4.977683386152085e-05,45.0,40.0,50.0
ed_inp,160.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,161.0,6,4.977683386152085e-05,4.977683386152085e-05,45.0,40.0,50.0
ed_inp,162.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,163.0,1,8.296138976920141e-06,8.296138976920141e-06,45.0,40.0,50.0
ed_inp,164.0,3,2.4888416930760424e-05,2.4888416930760424e-05,45.0,40.0,50.0
ed_inp,166.0,3,2.4888416930760424e-05,2.4888416930760424e-05,45.0,40.0,50.0
ed_inp,167.0,4,3.3184555907680565e-05,3.3184555907680565e-05,45.0,40.0,50.0
ed_inp,168.0,4,3.3184555907680565e-05,3.3184555907680565e-05,45.0,40.0,50.0
ed_inp,169.0,1,8.296138976920141e-06,8.296138976920141e-06,45.0,40.0,50.0
ed_inp,170.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,171.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,172.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,173.0,3,2.4888416930760424e-05,2.4888416930760424e-05,45.0,40.0,50.0
ed_inp,174.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,176.0,1,8.296138976920141e-06,8.296138976920141e-06,45.0,40.0,50.0
ed_inp,177.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,178.0,4,3.3184555907680565e-05,3.3184555907680565e-05,45.0,40.0,50.0
ed_inp,179.0,3,2.4888416930760424e-05,2.4888416930760424e-05,45.0,40.0,50.0
ed_inp,180.0,1,8.296138976920141e-06,8.296138976920141e-06,45.0,40.0,50.0
ed_inp,181.0,1,8.296138976920141e-06,8.296138976920141e-06,45.0,40.0,50.0
ed_inp,182.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,183.0,1,8.296138976920141e-06,8.296138976920141e-06,45.0,40.0,50.0
ed_inp,184.0,6,4.977683386152085e-05,4.977683386152085e-05,45.0,40.0,50.0
ed_inp,185.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,186.0,3,2.4888416930760424e-05,2.4888416930760424e-05,45.0,40.0,50.0
ed_inp,187.0,1,8.296138976920141e-06,8.296138976920141e-06,45.0,40.0,50.0
ed_inp,188.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,189.0,3,2.4888416930760424e-05,2.4888416930760424e-05,45.0,40.0,50.0
ed_inp,190.0,1,8.296138976920141e-06,8.296138976920141e-06,45.0,40.0,50.0
ed_inp,191.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,192.0,6,4.977683386152085e-05,4.977683386152085e-05,45.0,40.0,50.0
ed_inp,193.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,194.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,195.0,3,2.4888416930760424e-05,2.4888416930760424e-05,45.0,40.0,50.0
ed_inp,197.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,198.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,199.0,1,8.296138976920141e-06,8.296138976920141e-06,45.0,40.0,50.0
ed_inp,200.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,201.0,4,3.3184555907680565e-05,3.3184555907680565e-05,45.0,40.0,50.0
ed_inp,202.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,203.0,1,8.296138976920141e-06,8.296138976920141e-06,45.0,40.0,50.0
ed_inp,204.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,205.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,206.0,5,4.148069488460071e-05,4.148069488460071e-05,45.0,40.0,50.0
ed_inp,207.0,5,4.148069488460071e-05,4.148069488460071e-05,45.0,40.0,50.0
ed_inp,208.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,209.0,4,3.3184555907680565e-05,3.3184555907680565e-05,45.0,40.0,50.0
ed_inp,210.0,1,8.296138976920141e-06,8.296138976920141e-06,45.0,40.0,50.0
ed_inp,211.0,3,2.4888416930760424e-05,2.4888416930760424e-05,45.0,40.0,50.0
ed_inp,212.0,3,2.4888416930760424e-05,2.4888416930760424e-05,45.0,40.0,50.0
ed_inp,213.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,214.0,1,8.296138976920141e-06,8.296138976920141e-06,45.0,40.0,50.0
ed_inp,215.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,218.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
ed_inp,219.0,2,1.6592277953840282e-05,1.6592277953840282e-05,45.0,40.0,50.0
