group,paco2_bin,weight
icu,41.0,0.0354851283281362
icu,42.0,0.0367594147277524
icu,43.0,0.0297283521228112
icu,44.0,0.0300581674262413
icu,45.0,0.0256356440393379
icu,46.0,0.0243613576397217
icu,47.0,0.0201786999280403
icu,48.0,0.0203885823938594
icu,49.0,0.0154713360518109
icu,50.0,0.0160260254257615
icu,51.0,0.0118283761093787
icu,52.0,0.0119333173422883
icu,53.0,0.0099844087311105
icu,54.0,0.0097895178699928
icu,55.0,0.0079005756776205
icu,56.0,0.0082453825857519
icu,57.0,0.006371431998081
icu,58.0,0.0068061885344207
icu,59.0,0.0055319021348045
icu,60.0,0.0059516670664427
icu,61.0,0.0057867594147277
icu,62.0,0.005307028064284
icu,63.0,0.0043025905492923
icu,64.0,0.004572439433917
icu,65.0,0.0037329095706404
icu,66.0,0.0038078675941472
icu,67.0,0.0035829935236267
icu,68.0,0.0039877668505636
icu,69.0,0.0033581194531062
icu,70.0,0.003103262173183
icu,71.0,0.0029683377308707
icu,72.0,0.0028933797073638
icu,73.0,0.0029233629167666
icu,74.0,0.0027134804509474
icu,75.0,0.0026385224274406
icu,76.0,0.0025785560086351
icu,77.0,0.0023087071240105
icu,78.0,0.0021887742863996
icu,79.0,0.0019339170064763
icu,80.0,0.0022037658911009
icu,81.0,0.0017090429359558
icu,82.0,0.0017540177500599
icu,83.0,0.0018139841688654
icu,84.0,0.001798992564164
icu,85.0,0.0018739505876709
icu,86.0,0.0016190933077476
icu,87.0,0.001514152074838
icu,88.0,0.0014841688654353
icu,89.0,0.0012742863996162
icu,90.0,0.001349244423123
icu,91.0,0.0011393619573039
icu,92.0,0.0012742863996162
icu,93.0,0.0011693451667066
icu,94.0,0.0009144878867834
icu,95.0,0.0011693451667066
icu,96.0,0.0009144878867834
icu,97.0,0.000899496282082
icu,98.0,0.0007495802350683
icu,99.0,0.0008095466538738
icu,100.0,0.0008395298632765
icu,101.0,0.0004647397457423
icu,102.0,0.0005696809786519
icu,103.0,0.0006446390021587
icu,104.0,0.0005846725833533
icu,105.0,0.0005097145598464
icu,106.0,0.0005247061645478
icu,107.0,0.00032981530343
icu,108.0,0.0003897817222355
icu,109.0,0.0003747901175341
icu,110.0,0.0004647397457423
icu,111.0,0.00032981530343
icu,112.0,0.00032981530343
icu,113.0,0.0003448069081314
icu,114.0,0.0003597985128328
icu,115.0,0.0003747901175341
icu,116.0,0.0003897817222355
icu,117.0,0.0002698488846246
icu,118.0,0.0003597985128328
icu,119.0,0.0003148236987287
icu,120.0,0.0003148236987287
icu,121.0,0.0003448069081314
icu,122.0,0.0001349244423123
icu,123.0,0.0002548572799232
icu,124.0,0.0002848404893259
icu,125.0,0.0003148236987287
icu,126.0,0.0001199328376109
icu,127.0,0.0002248740705205
icu,128.0,0.0001349244423123
icu,129.0,0.0002998320940273
