group,paco2_bin,count,weight
ed_inp,223.0,1,8.296138976920141e-06
ed_inp,224.0,2,1.6592277953840282e-05
ed_inp,225.0,1,8.296138976920141e-06
ed_inp,226.0,2,1.6592277953840282e-05
ed_inp,227.0,1,8.296138976920141e-06
ed_inp,232.0,2,1.6592277953840282e-05
ed_inp,234.0,1,8.296138976920141e-06
ed_inp,235.0,3,2.4888416930760424e-05
ed_inp,237.0,1,8.296138976920141e-06
ed_inp,238.0,3,2.4888416930760424e-05
ed_inp,240.0,4,3.3184555907680565e-05
ed_inp,241.0,2,1.6592277953840282e-05
ed_inp,244.0,1,8.296138976920141e-06
ed_inp,245.0,1,8.296138976920141e-06
ed_inp,246.0,2,1.6592277953840282e-05
ed_inp,247.0,1,8.296138976920141e-06
ed_inp,248.0,1,8.296138976920141e-06
ed_inp,249.0,2,1.6592277953840282e-05
icu,7.0,4,5.996641880546894e-05
icu,8.0,8,0.00011993283761093787
icu,9.0,15,0.0002248740705205085
icu,10.0,17,0.000254857279923243
icu,11.0,34,0.000509714559846486
icu,12.0,50,0.0007495802350683617
icu,13.0,52,0.0007795634444710961
icu,14.0,68,0.001019429119692972
icu,15.0,73,0.0010943871431998082
icu,16.0,135,0.0020238666346845766
icu,17.0,153,0.002293715519309187
icu,18.0,183,0.002743463660350204
icu,19.0,196,0.002938354521467978
icu,20.0,291,0.004362556968097865
icu,21.0,341,0.005112137203166227
icu,22.0,452,0.0067762053250179895
icu,23.0,527,0.007900575677620533
icu,24.0,695,0.010419165267450228
icu,25.0,778,0.011663468457663709
icu,26.0,994,0.01490165507315903
icu,27.0,1088,0.01631086591508755
icu,28.0,1383,0.020733389301990885
icu,29.0,1413,0.0211831374430319
icu,30.0,1772,0.02656512353082274
icu,31.0,1771,0.02655013192612137
icu,32.0,2358,0.03535020388582394
icu,33.0,2227,0.03338630366994483
icu,34.0,2769,0.04151175341808587
icu,35.0,2623,0.03932297913168625
icu,36.0,3011,0.04513972175581674
icu,37.0,2722,0.04080714799712161
icu,38.0,2996,0.04491484768529624
icu,39.0,2630,0.039427920364595824
icu,40.0,2768,0.041496761813384506
icu,41.0,2367,0.035485128328136245
icu,42.0,2452,0.03675941472775246
icu,43.0,1983,0.029728352122811226
icu,44.0,2005,0.030058167426241306
icu,45.0,1710,0.02563564403933797
icu,46.0,1625,0.024361357639721755
icu,47.0,1346,0.0201786999280403
icu,48.0,1360,0.02038858239385944
icu,49.0,1032,0.015471336051810987
icu,50.0,1069,0.016026025425761575
icu,51.0,789,0.011828376109378747
icu,52.0,796,0.011933317342288318
icu,53.0,666,0.009984408731110578
icu,54.0,653,0.009789517869992805
icu,55.0,527,0.007900575677620533
icu,56.0,550,0.008245382585751979
icu,57.0,425,0.006371431998081075
icu,58.0,454,0.006806188534420724
icu,59.0,369,0.00553190213480451
icu,60.0,397,0.005951667066442792
icu,61.0,386,0.005786759414727753
icu,62.0,354,0.005307028064284001
icu,63.0,287,0.0043025905492923965
icu,64.0,305,0.004572439433917007
icu,65.0,249,0.0037329095706404416
icu,66.0,254,0.0038078675941472773
icu,67.0,239,0.003582993523626769
icu,68.0,266,0.003987766850563684
icu,69.0,224,0.0033581194531062605
icu,70.0,207,0.0031032621731830177
icu,71.0,198,0.002968337730870712
icu,72.0,193,0.0028933797073638764
icu,73.0,195,0.0029233629167666106
icu,74.0,181,0.0027134804509474694
icu,75.0,176,0.002638522427440633
icu,76.0,172,0.0025785560086351643
icu,77.0,154,0.002308707124010554
icu,78.0,146,0.0021887742863996164
icu,79.0,129,0.0019339170064763733
icu,80.0,147,0.0022037658911009833
icu,81.0,114,0.0017090429359558647
icu,82.0,117,0.0017540177500599665
icu,83.0,121,0.0018139841688654353
icu,84.0,120,0.001798992564164068
icu,85.0,125,0.0018739505876709042
icu,86.0,108,0.0016190933077476614
icu,87.0,101,0.0015141520748380907
icu,88.0,99,0.001484168865435356
icu,89.0,85,0.001274286399616215
icu,90.0,90,0.001349244423123051
icu,91.0,76,0.0011393619573039097
icu,92.0,85,0.001274286399616215
icu,93.0,78,0.0011693451667066444
icu,94.0,61,0.0009144878867834013
icu,95.0,78,0.0011693451667066444
icu,96.0,61,0.0009144878867834013
icu,97.0,60,0.000899496282082034
icu,98.0,50,0.0007495802350683617
icu,99.0,54,0.0008095466538738307
icu,100.0,56,0.0008395298632765651
icu,101.0,31,0.0004647397457423843
icu,102.0,38,0.0005696809786519549
icu,103.0,43,0.0006446390021587911
icu,104.0,39,0.0005846725833533222
icu,105.0,34,0.000509714559846486
icu,106.0,35,0.0005247061645478532
icu,107.0,22,0.00032981530343007914
icu,108.0,26,0.0003897817222355481
icu,109.0,25,0.00037479011753418086
icu,110.0,31,0.0004647397457423843
icu,111.0,22,0.00032981530343007914
icu,112.0,22,0.00032981530343007914
icu,113.0,23,0.00034480690813144636
icu,114.0,24,0.00035979851283281364
icu,115.0,25,0.00037479011753418086
icu,116.0,26,0.0003897817222355481
icu,117.0,18,0.0002698488846246102
icu,118.0,24,0.00035979851283281364
icu,119.0,21,0.0003148236987287119
icu,120.0,21,0.0003148236987287119
icu,121.0,23,0.00034480690813144636
icu,122.0,9,0.0001349244423123051
icu,123.0,17,0.000254857279923243
icu,124.0,19,0.00028484048932597743
icu,125.0,21,0.0003148236987287119
icu,126.0,8,0.00011993283761093787
icu,127.0,15,0.0002248740705205085
icu,128.0,9,0.0001349244423123051
icu,129.0,20,0.0002998320940273447
icu,130.0,21,0.0003148236987287119
icu,131.0,12,0.00017989925641640682
